Nombre producto,id,Material,Package Color,Packaging,Capacity,Botella cap,Brand,Reference,Dirt,Product category,,,,,,,,,,,,,,,
ChocoBreak Cookies 5 g,478,PLÁSTICO,Gris brillante,Envoltorio,5 g,N/A,ChocoBreak,Cookies,FALSE,Chocolate,,,,,,,,,,,,,,,
Noel Galletas Wafer Vainilla 432 g,479,PLÁSTICO,Opaco colorido,Envoltorio,432 g,N/A,Noel,Galletas Wafer Vainilla,FALSE,Galletas,,,,,,,,,,,,,,,
Mr Tea Limón Botella Vidrio 300ml,480,VIDRIO,Transparente opaco,Botella,300 ml,TRUE,Postobón,Limón,FALSE,Hidratante,,,,,,,,,,,,,,,
Dux Galletas Integral 27.8 g,481,PLÁSTICO,Opaco colorido,Envoltorio,27.8 g,N/A,Dux,Integral,FALSE,Galletas,,,,,,,,,,,,,,,
Popetas Caramelo 44.4 g,482,PLÁSTICO,Opaco colorido,Envoltorio,44.4 g,N/A,Popetas,Crispetas de maíz gourmet,FALSE,Snacks,,,,,,,,,,,,,,,
Trululu Gomitas Feroz Frutal 18 g,483,PLÁSTICO,Rojo opaco,Envoltorio,18 g,N/A,Trululu,Feroz,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Whittaker's Tweats Candy 15 g,484,PLÁSTICO,Café opaco,Envoltorio,15 g,N/A,Whittaker's,Tweats,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Jet Chocolatina Más Leche 12 g,485,PAPEL_OTROS,Opaco colorido,Envoltorio,12 g,N/A,Jet,Más Leche,FALSE,Chocolate,,,,,,,,,,,,,,,
Tapa de aluminio ,486,ALUMINIO,Gris opaco,Lámina,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
OMI Limonada 600 ml,487,PET,Transparente claro,Botella,600 ml,TRUE,OMI,Limonada,FALSE,Hidratante,,,,,,,,,,,,,,,
Coca-Cola Original 250 ml,488,PET,Transparente claro,Botella,250 ml,TRUE,Coca-Cola,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Tapa de aluminio El Zarzal,489,ALUMINIO,Gris opaco,Lámina,N/A,N/A,El Zarzal,N/A,FALSE,,,,,,,,,,,,,,,,
Chips de la Abuela Papas Sabor Limón 70 g,490,PLÁSTICO,Transparente claro,Envoltorio,70 g,N/A,Chips de la Abuela,Limón,FALSE,Snacks,,,,,,,,,,,,,,,
MAI Queso Siete Cueros 50 g,491,PLÁSTICO,Opaco colorido,Envoltorio,50 g,N/A,MAI,Queso Siete Cueros,FALSE,Snacks,,,,,,,,,,,,,,,
Generic Cardboard,492,CARTÓN,N/A,Lámina,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Aluminum,493,ALUMINIO,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Paper Sheet,494,PAPEL,N/A,Lámina,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Glass,495,VIDRIO,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Glass Bottle,496,VIDRIO,N/A,Botella,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Aluminum Can,497,ALUMINIO,N/A,Lata,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic PET Bottle,498,PET,N/A,Botella,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Tetrapck Box,499,TETRAPACK,N/A,Caja,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Paper Cup,500,PAPER_CUP,N/A,Envase,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Plastic Bag,501,PLÁSTICO,N/A,Bolsa,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Plastic Cup,502,PLÁSTICO,N/A,Envase,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Aperol,503,VIDRIO,Transparente claro,Botella,175cl,TRUE,Aperol,N/A,FALSE,,,,,,,,,,,,,,,,
Becks,504,VIDRIO,Transparente claro,Botella,350 ml,TRUE,Becks,N/A,FALSE,,,,,,,,,,,,,,,,
Coca-Cola Original 300 ml,505,VIDRIO,Transparente claro,Botella,300 ml,TRUE,Coca-Cola,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Heineken 40cl,506,VIDRIO,Verde transparente,Botella,40cl,TRUE,Heineken,N/A,FALSE,Cerveza,,,,,,,,,,,,,,,
RedBeer 300ml,507,VIDRIO,Café transparente,Botella,350 ml,TRUE,RedBeer,N/A,FALSE,Cerveza,,,,,,,,,,,,,,,
San Benedetto 500ml,508,VIDRIO,Transparente claro,Botella,500 ml,TRUE,San Benedetto,M/A,FALSE,Agua,,,,,,,,,,,,,,,
Generic Aluminum Box,509,ALUMINIO,N/A,Caja,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Coca-Cola Original Lata 250 ml,510,ALUMINIO,Rojo opaco,Lata,250 ml,N/A,Coca-Cola,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Coca-Cola Zero Lata 250 ml,511,ALUMINIO,Rojo opaco,Lata,250 ml,N/A,Coca-Cola,Zero,FALSE,Gaseosa,,,,,,,,,,,,,,,
Generic Glass Container,512,VIDRIO,N/A,Envase,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Estathe 250 ml,513,ALUMINIO,Amarillo,Lata,250 ml,N/A,Estathe,Limone,FALSE,Té,,,,,,,,,,,,,,,
Fanta 500 ml,514,ALUMINIO,Naranjado,Lata,500 ml,N/A,Fanta,N/A,FALSE,Gaseosa,,,,,,,,,,,,,,,
Sprite Original 250 ml,515,ALUMINIO,Verde,Lata,N/A,N/A,Sprite,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Generic Aluminum Foil,516,ALUMINIO,N/A,Lámina,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa tipo Crown,517,METAL,N/A,Tapa,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa tipo twist-off,518,METAL,N/A,Tapa,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Paper Bag,519,BOLSA_PAPEL,N/A,Envoltorio,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Cardboard Box,520,CARTÓN,N/A,Caja,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Paper towel,521,PAPEL_TOALLA,N/A,Servilleta,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Pen or Marker,522,LAPICERO_MARCADOR,N/A,Lapicero,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa rosca plástica,523,PET,N/A,Tapa,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Plastic cutlery,524,PLÁSTICO,N/A,Cubiertos,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Plastic,525,PLÁSTICO,N/A,Envase,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Plastic wrapping,526,PLÁSTICO,N/A,Envoltorio,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Other,527,NO_RECICLABLE,N/A,Mixto,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Receipt paper,528,PAPEL_RECIBO,N/A,Recibo,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Organic,529,ORGÁNICO,N/A,Orgánico,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Battery,530,BATERÍA,N/A,Batería,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Tapabocas,531,TAPABOCAS,N/A,Tapabocas,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa plastica Coca-Cola,532,PET,N/A,Tapa,N/A,N/A,Coca-Cola,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa plastica Pepsi,533,PET,N/A,Tapa,N/A,N/A,Pepsi,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica 7up,534,METAL,N/A,Tapa,N/A,N/A,7up,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Coca-Cola,535,METAL,N/A,Tapa,N/A,N/A,Coca-Cola,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Fanta,536,METAL,N/A,Tapa,N/A,N/A,Fanta,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Mirinda,537,METAL,N/A,Tapa,N/A,N/A,Mirinda,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Mountain dew,538,METAL,N/A,Tapa,N/A,N/A,Mountain dew,N/A,FALSE,,,,,,,,,,,,,,,,
Helado Artesanal 3 Leches Crem Helado,539,PLÁSTICO,Colorido opaco,Envoltorio,70 gr,N/A,Crem Helado,3 Leches,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Pepsi,540,METAL,N/A,Tapa,N/A,N/A,Pepsi,N/A,FALSE,,,,,,,,,,,,,,,,
Tapa metálica Sprite,541,METAL,N/A,Tapa,N/A,N/A,Sprite,N/A,FALSE,,,,,,,,,,,,,,,,
Generic Paper (No package type),542,PAPEL,N/A,Lámina,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Galletas Club Social Integral 26 g,543,PLÁSTICO,Opaco colorido,Envoltorio,26 g,N/A,Club Social,Integral,FALSE,Galletas,,,,,,,,,,,,,,,
My Motto Wafer Cookie with tiramisu flavour cream 34g,544,PLÁSTICO,Opaco colorido,Envoltorio,34 g,N/A,My Motto,Wafer Cookie with Tiramisu Flavour Cream,FALSE,Galletas,,,,,,,,,,,,,,,
BonYurt,545,PLÁSTICO,Translucido,Envase,N/A,N/A,Bon Yurt,N/A,FALSE,Yogur,,,,,,,,,,,,,,,
Mr Brown Arequipe 22g,546,PLÁSTICO,Opaco colorido,Envoltorio,22 g,N/A,Mr Brown,Arequipe,FALSE,Chocolate,,,,,,,,,,,,,,,
Festival Galletas Vainilla 33.6g,547,PLÁSTICO,Opaco colorido,Envoltorio,33.6 g,N/A,Festival,Vainilla,FALSE,Galletas,,,,,,,,,,,,,,,
Granadilla,548,ORGÁNICO,N/A,Orgánico,N/A,N/A,N/A,N/A,FALSE,Fruta,,,,,,,,,,,,,,,
Botella de vidrio con tapa metálica,549,VIDRIO,Transparente claro,Botella,N/A,TRUE,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Ponky Ponke Vainilla 33 g,550,PLÁSTICO,Opaco colorido,Envoltorio,33 g,N/A,Ponky,Ponke Vainilla,FALSE,,,,,,,,,,,,,,,,
Choclitos Limón 27g,551,PLÁSTICO,Verde opaco,Envoltorio,27 g,N/A,Choclitos,Limón,FALSE,Snacks,,,,,,,,,,,,,,,
Papitas Limón 70 g,552,PLÁSTICO,Transparente claro,Envoltorio,70 g,N/A,N/A,N/A,FALSE,Snacks,,,,,,,,,,,,,,,
Postobón Acqua Manzana 400 ml,553,PET,Transparente claro,Botella,400 ml,TRUE,Postobón,Acqua Manzana,FALSE,Gaseosa,,,,,,,,,,,,,,,
Jet Paleta Cookies and Cream 62 g,554,PLÁSTICO,Azul opaco,Envoltorio,62 g,N/A,Jet,Paleta Cookies and Cream,FALSE,,,,,,,,,,,,,,,,
Colombina Mini Bum Uva Fresa 5 g,555,PLÁSTICO,Opaco colorido,Envoltorio,5 g,N/A,Mini Bum,Uva Fresa,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Bolsa de Papel Subway,556,BOLSA_PAPEL,Blanco opaco,Envoltorio,N/A,N/A,Subway,N/A,FALSE,,,,,,,,,,,,,,,,
Bolsa Plástica Resellable,557,PLÁSTICO,Transparente claro,Envoltorio,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Carrefour Turrón Trufado de Chocolate al Whisky 200g,558,CARTÓN,Azul opaco,Caja,200 g,N/A,Carrefour,Turrón Trufado de Chocolate al Whisky,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Bridge Galletas Wafer Arequipe 30 g,559,PLÁSTICO,Opaco colorido,Envoltorio,30 g,N/A,Bridge,Arequipe,FALSE,Galletas,,,,,,,,,,,,,,,
Mieltertos Miel y Propóleo 14 g,560,PLÁSTICO,Opaco colorido,Envoltorio,14  g,N/A,Mieltertos,N/A,FALSE,,,,,,,,,,,,,,,,
Millows Masmelos Cream 5 g,561,PLÁSTICO,Transparente claro,Envoltorio,5 g,N/A,Millows,Cream,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Alpin Chocolate Tetrapack 200 ml,562,TETRAPACK,Opaco colorido,Caja,200 ml,N/A,Alpin,Chocolate,FALSE,,,,,,,,,,,,,,,,
Bridge Galletas Wafer Vainilla 30 g,563,PLÁSTICO,Opaco colorido,Envoltorio,30 g,N/A,Bridge,Vainilla,FALSE,Galletas,,,,,,,,,,,,,,,
Palito de madera para Paletas,564,MADERA,N/A,Palito,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Frito Lay Chokis Chocolate 19 g,565,PLÁSTICO,Opaco colorido,Envoltorio,19 g,N/A,Chokis,Bolitas de maíz cubiertas de chocolate,FALSE,Snacks,,,,,,,,,,,,,,,
Vaso Plástico Santa Elena 16 oz,566,PLÁSTICO,Transparente claro,Envase,16 oz,N/A,Santa Elena,N/A,FALSE,,,,,,,,,,,,,,,,
Naranja,567,ORGÁNICO,N/A,Orgánico,N/A,N/A,N/A,N/A,FALSE,Fruta,,,,,,,,,,,,,,,
Ekii Té Verde Matcha Raspberry/Frambuesa 400 ml,568,VIDRIO,Opaco colorido,Botella,400 ml,TRUE,Ekii,Raspberry,FALSE,Té,,,,,,,,,,,,,,,
Ramo Papas Sabor Natural 25 g,569,PLÁSTICO,Opaco colorido,Envoltorio,25 g,N/A,Ramo,Papas Naturales,FALSE,Snacks,,,,,,,,,,,,,,,
Push Pop Frambuesa y Limonada 15 g,570,PLÁSTICO,Opaco colorido,Envase,15 g,N/A,Push Pop,Frambuesa y Limonada,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Kinder Barra Chocolate con Leche 12.5 g,571,PAPEL,Opaco colorido,Envoltorio,12.5 g,N/A,Kinder,Barra Chocolate con Leche,FALSE,Chocolate,,,,,,,,,,,,,,,
Hatsu Tea Té Blanco Sabor Lychee 250 ml,572,VIDRIO,Rojo opaco,Botella,250 ml,TRUE,Hatsu,Té Blanco Sabor Lychee,FALSE,Té,,,,,,,,,,,,,,,
Hatsu Tea Té Negro y Jugo de Limón 250 ml,573,VIDRIO,Negro opaco,Botella,250 ml,FALSE,Hatsu,Té Negro y Jugo de Limón,FALSE,Té,,,,,,,,,,,,,,,
Banano,574,ORGÁNICO,N/A,Orgánico,N/A,N/A,N/A,N/A,FALSE,Fruta,,,,,,,,,,,,,,,
Coronita Extra  210 ml ,575,VIDRIO,Transparente claro,Botella,210 ml,N/A,Corona,N/A,FALSE,Cerveza,,,,,,,,,,,,,,,
Soda Bretaña 300 ml,576,VIDRIO,Transparente claro,Botella,300 ml,N/A,Bretaña,N/A,FALSE,Gaseosa,,,,,,,,,,,,,,,
Del Valle Mandarina Caja 188ml,577,TETRAPACK,Naranjado,Caja,188 ml,N/A,Del Valle,Mandarina,FALSE,Jugo,,,,,,,,,,,,,,,
Hatsu Soda Frambuesa y Rosas 269ml,578,ALUMINIO,Rosado metalizado,Lata,269 ml,N/A,Hatsu,Frambuesa y rosas,FALSE,Gaseosa,,,,,,,,,,,,,,,
Red Bull 250 ml,579,ALUMINIO,Azul metalizado,Lata,250 ml,N/A,RedBull,Sugar Free,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Soda Sandia y Albahaca 269 ml,580,ALUMINIO,Verde metalizado,Lata,269 ml,N/A,Hatsu,Sandia y albahaca,FALSE,Gaseosa,,,,,,,,,,,,,,,
Cerveza Pilsen 473 cm3,581,ALUMINIO,Rojo y Negro metalizado,Lata,473 cm3,N/A,Pilsen,Clasica,FALSE,Cerveza,,,,,,,,,,,,,,,
Aguardiente Antioqueño Tapa roja,582,VIDRIO,Transparente claro,Botella,375 ml,TRUE,Aguardiente antioqueño,Tapa roja,FALSE,,,,,,,,,,,,,,,,
Vive 100 Acai 380 ml,583,PLÁSTICO,Morado,Botella,300 ml,TRUE,Vive 100,Acai,FALSE,Gaseosa,,,,,,,,,,,,,,,
Vive 100 Acai 380 ml,584,PLÁSTICO,Rojo y Blanco,Lata,150 g,N/A,Vive 100,Melocotón,FALSE,Gaseosa,,,,,,,,,,,,,,,
Atún Lomitos Van Camps 160g,585,ALUMINIO,Opaco colorido,Lata,160 g,N/A,Van Camps,Lomitos,FALSE,,,,,,,,,,,,,,,,
Royal Canin Recovery 145g,586,ALUMINIO,Opaco colorido,Lata,145 g,N/A,Royal Canin,Recovery,FALSE,,,,,,,,,,,,,,,,
Baby Ruth,587,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Baby Ruth,,FALSE,Chocolate,,,,,,,,,,,,,,,
Bueno White,588,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Bueno White,,FALSE,Chocolate,,,,,,,,,,,,,,,
Crunch Patt,589,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Crunch Patt,,FALSE,Chocolate,,,,,,,,,,,,,,,
EXTRA CRUNCHY SKIPPY Creamy-Peanut Butter,590,PET,N/A,Envase,N/A,N/A,Skippy,,FALSE,,,,,,,,,,,,,,,,
FULLO BLASTO Caramel _ Crunchy Chocolate,591,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Fullo Blasto,,FALSE,,,,,,,,,,,,,,,,
Ghana Red,592,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Gahana,Red,FALSE,,,,,,,,,,,,,,,,
Ghana Yellow,593,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Gahana,Yellow,FALSE,,,,,,,,,,,,,,,,
Godiva,594,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Godiva,,FALSE,,,,,,,,,,,,,,,,
GOYA ALMOND IN MILK CHOCOLATE,595,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Goya,Almond,FALSE,,,,,,,,,,,,,,,,
GOYA VERY BERRIE,596,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Goya,Very Berrie,FALSE,,,,,,,,,,,,,,,,
HERSHEY_S MILK CHOCOLATE,597,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Hershey,Milk chocolate,FALSE,,,,,,,,,,,,,,,,
KitKat,598,PLÁSTICO,N/A,Envoltorio,N/A,N/A,KitKat,,FALSE,Chocolate,,,,,,,,,,,,,,,
LOTTE PEPERO Almond _ Chocolate,599,CARTÓN,N/A,Caja,N/A,N/A,Pepero,Almond chocolate,FALSE,Chocolate,,,,,,,,,,,,,,,
M&M's Fun size,600,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,M&M's,Fun size,FALSE,Chocolate,,,,,,,,,,,,,,,
M&M's Peanut Butter,601,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,M&M's,Peanut Butter,FALSE,Chocolate,,,,,,,,,,,,,,,
M&M's Fudge Brownie,602,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,M&M's,Fudge Brownie,FALSE,Chocolate,,,,,,,,,,,,,,,
MALTESERS,603,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,MALTESERS,,FALSE,,,,,,,,,,,,,,,,
Mars,604,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,Mars,,FALSE,,,,,,,,,,,,,,,,
MEIJI APOLLO STRAWBERRY CHOCOLATE,605,PLÁSTICO,N/A,Envoltorio,N/A,N/A,MEIJI APOLLO,STRAWBERRY CHOCOLATE,FALSE,,,,,,,,,,,,,,,,
Milky Way Bar 52.2g White,606,PLÁSTICO,Opaco colorido,Envoltorio,52.2 g,N/A,Milky Way,White,FALSE,,,,,,,,,,,,,,,,
Nerds,607,CARTÓN,Morado,Caja,N/A,N/A,Nerds,Grape,FALSE,,,,,,,,,,,,,,,,
Nerds,608,CARTÓN,Morado,Caja,N/A,N/A,Nerds,Strawberry,FALSE,,,,,,,,,,,,,,,,
Nutella,609,PET,N/A,Envase,N/A,N/A,Nutella,,FALSE,,,,,,,,,,,,,,,,
Lotte Pepero Sesame white,610,CARTÓN,N/A,Caja,N/A,N/A,Pepero,Sesame white,FALSE,,,,,,,,,,,,,,,,
Pik-Nik Less Salt Shoestring Potatoes,611,CARTÓN,Opaco colorido,Envase,N/A,N/A,Pik-Nik,Less Salt Shoestring Potatoes,FALSE,,,,,,,,,,,,,,,,
Pik-Nik Ketchup Fries Thick Cut Potatoes,612,CARTÓN,Opaco colorido,Envase,N/A,N/A,Pik-Nik,Ketchup Fries Thick Cut Potatoes,FALSE,,,,,,,,,,,,,,,,
Reese's,613,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Reese's,Big Cup,FALSE,,,,,,,,,,,,,,,,
Reese's,614,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Reese's,Two peanut butter cups,FALSE,,,,,,,,,,,,,,,,
SAFARI CARAMEL CRISP,615,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Safari,Caramel Crips,FALSE,,,,,,,,,,,,,,,,
Skittles Crazy sours,616,PLÁSTICO,Opaco colorido,Envoltorio,N/A,N/A,Skittles,Crazy sours,FALSE,,,,,,,,,,,,,,,,
Super Delights Brownie Bites,617,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Super Delights ,Brownie Bites,FALSE,,,,,,,,,,,,,,,,
Super Delights Butterscotch Bites,618,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Super Delights ,Butterscotch Bites,FALSE,,,,,,,,,,,,,,,,
TIFFANY BREAK Crunchy Water Fingers in Creamy Milk Chocolate,619,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Tiffany Break,Crunchy Water Fingers,FALSE,,,,,,,,,,,,,,,,
Toblerone,620,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Toblerone,,FALSE,,,,,,,,,,,,,,,,
TOFILUK CARAMEL CRUNCH,621,PLÁSTICO,N/A,Envoltorio,N/A,N/A,Tofiluk,Caramel crunch,FALSE,,,,,,,,,,,,,,,,
Colanta Yogurt ,622,PLÁSTICO,Opaco colorido,Envase,170 g,N/A,Colanta,Yogurt ,FALSE,Yogur,,,,,,,,,,,,,,,
Barra de cereal con fibra Colombina 138 g,623,CARTÓN,Blanco opaco,Caja,138 g,N/A,Colombina,Barra de cereal con fibra,FALSE,Snacks,,,,,,,,,,,,,,,
Hit Mora Botella 500ml,625,VIDRIO,Transparente claro,Botella,500 ml,TRUE,Hit,Mora,FALSE,Jugo,,,,,,,,,,,,,,,
Tapa metálica,627,METAL,N/A,Tapa,N/A,N/A,N/A,N/A,FALSE,,,,,,,,,,,,,,,,
Vive 100 Fusion Frutos Rojos 380 ml,628,PLÁSTICO,Rojo,Botella,300 ml,TRUE,Vive 100,Fusión Frutos Rojos,FALSE,,,,,,,,,,,,,,,,
Colombiana sin azucar Botella 400 ml,629,PET,Transparente claro,Botella,400 ml,TRUE,Colombiana,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Cerveza Aguila Light,630,ALUMINIO,Gris metalizado,Lata,330 cm3,FALSE,Aguila,Light,FALSE,Cerveza,,,,,,,,,,,,,,,
Del Valle Mango 188ml,631,TETRAPACK,Opaco colorido,Caja,188 ml,FALSE,Del Valle,,FALSE,Jugo,,,,,,,,,,,,,,,
Oreo Galletas Original 54 g,632,PLÁSTICO,Azul opaco,Envoltorio,54 g,FALSE,Oreo,,FALSE,Galletas,,,,,,,,,,,,,,,
Colanta Yogurt Piña Colada 190 mL,633,PLÁSTICO,Opaco colorido,Envase,190 mL,FALSE,Colanta,,FALSE,Yogur,,,,,,,,,,,,,,,
Chocolatina Jet Lyne 9 g,634,PAPEL_OTROS,Azul,Envoltorio,9 g,FALSE,Jet,Lyne,FALSE,Chocolate,,,,,,,,,,,,,,,
Yogur Colanta Melocotón Slight,635,PLÁSTICO,Opaco colorido,Envase,190 mL,FALSE,Colanta,Slight,FALSE,Yogur,,,,,,,,,,,,,,,
Bon Yurt Piazza 174g,636,PLÁSTICO,Opaco colorido,Envase,174 g,FALSE,Bon Yurt,Barquillos de chocolate,FALSE,,,,,,,,,,,,,,,,
Yogurt Alquería Melocotón,637,PLÁSTICO,Opaco colorido,Envase,150 g,FALSE,Alquería,Con trozos de fruta,FALSE,Yogur,,,,,,,,,,,,,,,
Yogurt Alpina Melocotón,638,PLÁSTICO,Opaco colorido,Envase,200 g,FALSE,Alpina,Yogurt deslactosado con trozo de fruta,FALSE,Yogur,,,,,,,,,,,,,,,
Vergani Chocolate Milk Cream,639,PLÁSTICO,Metalizado,Envoltorio,N/A,FALSE,Vergani,,FALSE,,,,,,,,,,,,,,,,
Maní con Pasas Nuthos 200 g,640,PLÁSTICO,Morado brillante,Envoltorio,200 g,N/A,Nuthos,,FALSE,Snacks,,,,,,,,,,,,,,,
Mezcla Crunchy Nuthos 180 g,641,PLÁSTICO,Azul brillante,Envoltorio,180 g,N/A,Nuthos,,FALSE,Snacks,,,,,,,,,,,,,,,
El Zarzal Yogurt Griego Coco - Piña 100 g,642,PLÁSTICO,Azul opaco,Envase,100 g,FALSE,El Zarzal,,FALSE,Yogur,,,,,,,,,,,,,,,
Galletas rellenas de fruta Natri,643,PLÁSTICO,Transparente,Envoltorio,N/A,FALSE,Natri,Con manzana y uvas pasas,FALSE,Galletas,,,,,,,,,,,,,,,
Tosh Aromática Infusión Caliente Mango-Coco 20 unds 24g,644,CARTÓN,Opaco colorido,Caja,24 g,FALSE,Tosh,Infusión Caliente Mango-Coco,FALSE,,,,,,,,,,,,,,,,
Motts Tomato Juice 340 mL,645,ALUMINIO,Colorido metalizado,Lata,340 mL,FALSE,Motts,Tomato,FALSE,Jugo,,,,,,,,,,,,,,,
Tecate Original 330 cm3,646,ALUMINIO,Colorido metalizado,Lata,330 mL,FALSE,Tecate,Original,FALSE,,,,,,,,,,,,,,,,
Cerveza Poker 330 cm3,647,ALUMINIO,Colorido metalizado,Lata,330 mL,FALSE,Poker,,FALSE,Cerveza,,,,,,,,,,,,,,,
Oka Loka Nanos 24 cajitas,648,PLÁSTICO,Colorido brillante,Envoltorio,288 g,FALSE,Oka Loka,,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Red Bull Sugar Free 250 ml,649,ALUMINIO,Azul claro metalizado,Lata,250 ml,FALSE,RedBull,Sugar Free,FALSE,,,,,,,,,,,,,,,,
Barra de chocolate negro Tumaco 70% Cacao,650,CARTÓN,Café opaco,Caja,60g,FALSE,Cocoa Fusión,70% Cacao - Negro,FALSE,Chocolate,,,,,,,,,,,,,,,
Lindt 85% Cocoa,651,CARTÓN,Blanco opaco,Caja,100g,FALSE,Lindt,85% cocoa,FALSE,,,,,,,,,,,,,,,,
Piazza Deleite Chocolate & Avellana 120 g,652,ALUMINIO,Blanco opaco,Lata,120 g,FALSE,Colombina,Chocolate & Avellana,FALSE,,,,,,,,,,,,,,,,
Halls Fruit Mix 25.2g,653,PAPEL_OTROS,Colorido opaco,Envoltorio,25.2 g,FALSE,Halls,Fruit Mix,FALSE,,,,,,,,,,,,,,,,
Nestle Crema de leche 295 g,654,ALUMINIO,Colorido opaco,Lata,295 g,FALSE,Nestle,Crema de leche,FALSE,,,,,,,,,,,,,,,,
